profile,training_seed,phase,cdc_share_percent,aggregate_ci95_low_percent,aggregate_ci95_high_percent
MEDIUM,10,RECOVERY,1.7500000000000002,2.3948750000000003,10.960124999999996
DENSE,1,NORMAL,31.95,29.599874999999994,34.214999999999996
DENSE,2,NORMAL,33.79999999999999,29.599874999999994,34.214999999999996
DENSE,3,NORMAL,34.95000000000001,29.599874999999994,34.214999999999996
DENSE,4,NORMAL,32.85,29.599874999999994,34.214999999999996
DENSE,5,NORMAL,26.849999999999994,29.599874999999994,34.214999999999996
DENSE,6,NORMAL,34.550000000000004,29.599874999999994,34.214999999999996
DENSE,7,NORMAL,34.5,29.599874999999994,34.214999999999996
DENSE,8,NORMAL,23.55,29.599874999999994,34.214999999999996
DENSE,9,NORMAL,35.00000000000001,29.599874999999994,34.214999999999996
DENSE,10,NORMAL,34.2,29.599874999999994,34.214999999999996
DENSE,1,DENSE,18.999999999999996,15.955000000000002,26.239999999999995
DENSE,2,DENSE,23.75,15.955000000000002,26.239999999999995
DENSE,3,DENSE,30.700000000000006,15.955000000000002,26.239999999999995
DENSE,4,DENSE,17.649999999999995,15.955000000000002,26.239999999999995
DENSE,5,DENSE,10.8,15.955000000000002,26.239999999999995
DENSE,6,DENSE,25.95,15.955000000000002,26.239999999999995
DENSE,7,DENSE,25.1,15.955000000000002,26.239999999999995
DENSE,8,DENSE,4.449999999999999,15.955000000000002,26.239999999999995
DENSE,9,DENSE,32.55,15.955000000000002,26.239999999999995
DENSE,10,DENSE,23.65,15.955000000000002,26.239999999999995
DENSE,1,BURST,17.849999999999998,14.769874999999999,24.339999999999996
DENSE,2,BURST,23.699999999999996,14.769874999999999,24.339999999999996
DENSE,3,BURST,28.300000000000004,14.769874999999999,24.339999999999996
DENSE,4,BURST,16.05,14.769874999999999,24.339999999999996
DENSE,5,BURST,10.750000000000002,14.769874999999999,24.339999999999996
DENSE,6,BURST,24.549999999999997,14.769874999999999,24.339999999999996
DENSE,7,BURST,21.899999999999995,14.769874999999999,24.339999999999996
DENSE,8,BURST,3.4499999999999997,14.769874999999999,24.339999999999996
DENSE,9,BURST,30.65,14.769874999999999,24.339999999999996
DENSE,10,BURST,21.549999999999997,14.769874999999999,24.339999999999996
DENSE,1,RECOVERY,11.799999999999999,10.359875,18.439999999999998
DENSE,2,RECOVERY,16.25,10.359875,18.439999999999998
DENSE,3,RECOVERY,20.099999999999998,10.359875,18.439999999999998
DENSE,4,RECOVERY,9.899999999999999,10.359875,18.439999999999998
DENSE,5,RECOVERY,6.2,10.359875,18.439999999999998
DENSE,6,RECOVERY,18.299999999999994,10.359875,18.439999999999998
DENSE,7,RECOVERY,17.699999999999996,10.359875,18.439999999999998
DENSE,8,RECOVERY,2.15,10.359875,18.439999999999998
DENSE,9,RECOVERY,23.95,10.359875,18.439999999999998
DENSE,10,RECOVERY,19.499999999999996,10.359875,18.439999999999998
BURST,1,NORMAL,29.2,28.42,34.30999999999999
BURST,2,NORMAL,33.65000000000001,28.42,34.30999999999999
BURST,3,NORMAL,23.650000000000002,28.42,34.30999999999999
BURST,4,NORMAL,35.2,28.42,34.30999999999999
BURST,5,NORMAL,35.400000000000006,28.42,34.30999999999999
BURST,6,NORMAL,34.650000000000006,28.42,34.30999999999999
BURST,7,NORMAL,34.15,28.42,34.30999999999999
BURST,8,NORMAL,33.8,28.42,34.30999999999999
