profile,seed,source_history,ppo_update,loss_block_start_update,loss_block_end_update,ppo_objective_loss_block_median,ppo_actor_loss_block_median,ppo_value_loss_block_median,ppo_entropy_block_median,ppo_approximate_kl_block_median,ppo_clip_fraction_block_median,evaluation_episode_count,evaluation_task_count,raw_environment_mean_return,return_change_from_update_50,task_success_rate_percent,illegal_action_count,resource_leak_count
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,750,701,750,0.05559819779591635,-0.0015403044817503542,0.130497909267433,0.4200399214114441,0.0064732008477221825,0.04134114598855376,100,2000,18.328886440793966,0.40123647945038243,97.05,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,800,751,800,0.05304111413715873,-0.0020351186103653163,0.12115535681368783,0.3631028066156432,0.00503140324690321,0.035861545242369175,100,2000,18.527599251302103,0.5999492899585199,98.35000000000001,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,850,801,850,0.03815890843543457,-0.01012484794773627,0.1065249340608716,0.34502081328537315,0.007125699818516296,0.037562145036645234,100,2000,18.253129098070932,0.32547913672734907,98.25,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,900,851,900,0.038850110195198795,-0.009163880691630766,0.11031377638573758,0.35353880445472896,0.006580714607480331,0.04020182299427688,100,2000,18.409967940704586,0.48231797936100307,98.4,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,950,901,950,0.04754819429217605,-0.00921964627923444,0.10396872492856346,0.3356995376525447,0.007214921388367657,0.03953598509542644,100,2000,18.15077195998364,0.22312199864005677,97.7,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1000,951,1000,0.044710154776112176,-0.008828782942146063,0.11035351423197426,0.3709332665166585,0.007107336667104391,0.04194779833778739,100,2000,17.860133427139715,-0.06751653420386816,96.89999999999999,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1050,1001,1050,0.036841192151769064,-0.007999875175300986,0.09719343515462242,0.36078626953531057,0.004571616243827847,0.03783439891412854,100,2000,18.238787984874296,0.31113802353071307,97.6,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1100,1051,1100,0.03794550473685376,-0.008074728873907588,0.09169036516686901,0.3064534689319771,0.005326990416051558,0.03892933251336217,100,2000,18.421878421528106,0.49422846018452304,97.25,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1150,1101,1150,0.040929681206762325,-0.002057955105556175,0.09056065417826176,0.3070671079476597,0.00322295038199627,0.039071377948857844,100,2000,18.09621654071323,0.1685665793696458,96.75,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1200,1151,1200,0.045525293731770944,-0.006202138843946159,0.10664851785986684,0.34708452938195933,0.007515961560216056,0.04264322924427688,100,2000,18.420818994538177,0.4931690331945937,97.45,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1250,1201,1250,0.03717281110220938,-0.008467395760817453,0.09630196099169552,0.34089408904382423,0.005702431175450329,0.04394531261641532,100,2000,18.47208967723114,0.544439715887556,97.39999999999999,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1300,1251,1300,0.04853130605988554,-0.006778167182346806,0.1167760715179611,0.3259713558513795,0.006689869573165197,0.04669744335114956,100,2000,17.869053178038968,-0.058596783304615485,96.55,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1350,1301,1350,0.038464025128632784,-0.013060459445114248,0.1021756359259598,0.32194109150441363,0.006669263555117766,0.04422644420992583,100,2000,18.07237355600572,0.14472359466213547,97.05,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1400,1351,1400,0.03745564541895874,-0.012087048293324187,0.08749732287833467,0.28811151336412877,0.004935087959168527,0.04607599461451173,100,2000,18.365935380403926,0.43828541906034246,97.3,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1450,1401,1450,0.034166887009632774,-0.011699402710291906,0.09413316892459989,0.2930553730743668,0.007163983544160146,0.04527994804084301,100,2000,18.42853386291516,0.5008839015715765,97.2,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1500,1451,1500,0.04346225944755133,-0.008804797449556645,0.10746384708909318,0.3415344567038119,0.0060995978565188125,0.050748698064126074,100,2000,18.218606525093506,0.29095656374992274,97.0,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1550,1501,1550,0.04029501820332371,-0.00856794308492681,0.10572068134206347,0.33638813014840707,0.00766889351507416,0.05443596129771322,100,2000,18.244814359755946,0.31716439841236266,97.5,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1600,1551,1600,0.042107666571610025,-0.012488723557908088,0.10939128580503166,0.34327600451069884,0.005177079416171182,0.05550130223855376,100,2000,18.380108091494666,0.4524581301510828,97.85000000000001,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1650,1601,1650,0.03647613892098889,-0.009520479346974753,0.09496966551523656,0.3104750431375578,0.006845916816018871,0.0472745030419901,100,2000,18.367678083236555,0.440028121892972,97.6,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1700,1651,1700,0.04357840257580392,-0.008560282183680101,0.11017233566963114,0.3543484997935593,0.006668351325970434,0.04885771800763905,100,2000,18.59276072385119,0.6651107625076058,97.55,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1750,1701,1750,0.04455923846398946,-0.012022618298942689,0.11824800114845857,0.3673030404606834,0.00898077298188582,0.05602213565725833,100,2000,18.52404183269165,0.596391871348068,97.8,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1800,1751,1800,0.041063545482757036,-0.009991735714720562,0.11666006193263456,0.37444724810120533,0.007986142052686773,0.05529119342099875,100,2000,18.188546778707785,0.2608968173642019,97.3,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1850,1801,1850,0.046796348706266144,-0.0018468967027729377,0.10516798566095531,0.3406723423395306,0.005865848777204974,0.055989583604969084,100,2000,18.434352771287873,0.5067028099442901,97.15,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,1900,1851,1900,0.04379819172027055,-0.011982985364738852,0.11017770736361854,0.3036380943085817,0.0064345264631811006,0.05191761383321136,100,2000,18.321785984617243,0.39413602327365993,97.1,0,0
