stage,scenario,method,metric,value,source_path
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,distance_per_task,46.95265498840016,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,recovery_time_s,36.105497616654446,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,success_rate,0.9678625,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,reward,-269.3424904158073,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,successful_throughput_tasks_per_hour,68.62128038462117,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,mean_waiting_time,108.97245700268782,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,p95_waiting_time,452.83554340472045,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,mean_flow_time,153.37117396490748,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,p95_flow_time,504.5765316366091,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,distance_per_task,71.86572929721564,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,PPO,recovery_time_s,33.45961938295262,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,success_rate,0.9673749999999999,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,reward,-357.1012326978312,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,successful_throughput_tasks_per_hour,68.60426338541498,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,mean_waiting_time,138.73346272453475,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,p95_waiting_time,575.4897046016171,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,mean_flow_time,182.09176636168854,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,p95_flow_time,608.9729200219818,results/stage21_external_validity/fault_robustness_locked_summary.json
21,ROBOT_OUTAGE,TIME_GREEDY_RULE,distance_per_task,72.36448125621646,results/stage21_external_validity/fault_robustness_locked_summary.json
