stage,source_path,artifact,gate,status,passed,claim_boundary,profile,execution_mode,updates,episodes_trained_total
14,results/stage20_mixed_curriculum/long/seed_04/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_04/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_05/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_05/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_05/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_06/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_06/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_06/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_07/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_07/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_07/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_08/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
