update,mean,std,count,smooth,smooth_sd
106,-423.9562354543952,152.18522560565077,10,-389.8663138521639,159.11468702626576
107,-326.77219587004566,115.56461094147038,10,-387.94343342930944,158.4199461967896
108,-431.55015895175245,137.01934431316994,10,-387.71275993668837,157.83659522909474
109,-420.10671280259487,126.88118753199818,10,-386.70702086610197,157.96160553783068
110,-422.632819651069,200.64878234654032,10,-387.86465474499676,159.56258353009753
111,-420.62233972567867,178.24232943976008,10,-389.04651572253994,159.4640750577296
112,-372.5590205583563,142.1367037212022,10,-387.79527592762037,158.46414083677138
113,-500.60356203819083,186.9328560933953,10,-390.4187018813032,159.02552543803304
114,-354.7506541277647,135.57294269037567,10,-390.1815620320403,159.72889485754658
115,-534.1093370498631,304.9421914809392,10,-393.4192231852609,163.03376395524893
116,-366.12112307351,215.38568837371014,10,-394.2090871620865,165.62524194566274
117,-455.2248713872399,171.99606658984436,10,-396.91778113431695,166.755044557742
118,-434.458047473897,131.97776904831863,10,-397.87407131489897,165.455767719221
119,-417.66502126677585,96.00092534064356,10,-398.7103878007708,163.91141126408752
120,-420.7870261204459,136.0496639384009,10,-400.02983661268934,163.85585996652378
121,-361.1647026327676,111.59655957430202,10,-399.0564656283994,162.6179939517678
122,-366.76299242973784,129.3267548883806,10,-399.11759555922936,162.60401235599463
123,-415.72011924685955,107.42123347451059,10,-399.4325838746434,161.8064779912019
124,-396.5567141451821,191.83704389540304,10,-399.89034665463964,164.3915261096767
125,-423.34602657678727,126.95810502918434,10,-401.2444215794626,162.0376023317356
126,-391.3312300562221,106.74533140426989,10,-400.9989076373245,160.81942364480082
127,-355.8602865582376,145.43096995376203,10,-400.57823648587396,159.79666906095227
128,-393.04133661445366,158.99046735368194,10,-398.14916092752645,158.32808038195702
129,-354.66360701365903,128.43152828451534,10,-397.46169350756594,157.1249048262572
130,-457.46641488153637,209.49417926970816,10,-398.2966824820033,158.27190973159657
131,-330.9380467630857,112.61501476741795,10,-396.29163023929476,157.42272096111995
132,-410.57094809343045,254.6166231800044,10,-396.4979885851509,158.82251083458198
133,-301.3387671459958,160.14909779619424,10,-394.22370486546316,159.02125857725667
134,-432.60169338394144,204.86176834151198,10,-394.77056234671113,160.1408406239268
135,-326.6798347719937,140.6246575519293,10,-394.0841119576782,159.8190128482942
136,-401.37584861620724,169.62075979156157,10,-395.0587969260563,160.00923822618935
137,-431.11377934975945,164.31677359717148,10,-395.71355979310255,161.20930031470195
138,-343.87161711065903,160.9041386413204,10,-394.48247231618166,160.40755743616518
139,-383.82211196491215,154.97606866363643,10,-396.47139742107413,161.16768849419014
140,-368.7017990758719,126.0919055389264,10,-395.50914574670895,159.77110446847573
141,-388.6714173609666,135.1567162958566,10,-396.86558967917927,158.5631256114055
142,-389.9763964075318,102.12400610978743,10,-395.92690494642443,157.62670018992875
143,-368.3916224609601,190.42579603169435,10,-395.2377169639759,156.38716640250638
144,-376.8188814333823,167.70410823308205,10,-394.8522391712984,156.82244277354366
145,-361.31114112769427,127.66384887306849,10,-394.5347699385556,155.54448585733167
146,-329.24329394725646,90.13654165968562,10,-392.2510575053125,155.02879532447196
147,-300.250499309808,155.07132756883658,10,-391.04936041675427,154.58719964690485
148,-504.9215217680633,197.9772139893902,10,-394.70376529560895,156.62269278970163
149,-356.1716463910677,159.6688847574791,10,-394.0809055449185,155.25604919659264
150,-412.43683838568825,109.19544425390136,10,-392.99643195898943,153.70084574301646
151,-445.6028645167735,172.80253674919297,10,-394.31471095565735,153.69731705187914
152,-431.887489510534,193.01149112635565,10,-395.1936087065228,153.94035676174445
