stage,source_path,profile,condition,seed,endpoint,loss,actor_loss,value_loss,entropy,update,episodes_trained,rollout_steps,rollout_mean_reward,approximate_kl,clip_fraction,gradient_norm,rollout_completed,rollout_failed,rollout_peak_active_tasks,raw_episode_reward_mean,raw_reward_mean,normalized_reward_mean,normalized_reward_std,return_normalizer_variance
20,results/stage20_mixed_curriculum/long/seed_10/warm_start.history.json,MIXED_CURRICULUM,seed_10,10,first,1.0773856961727142,1.0773856961727142,0.7101885740575381,1.5735326981544495,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_10/warm_start.history.json,MIXED_CURRICULUM,seed_10,10,last,0.21802158009260894,0.21802158009260894,0.7708893472561613,0.13393346324563027,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/short_gate/seed_01/stage20_ppo.history.json,MIXED_CURRICULUM,seed_01,1,first,0.15487694588955492,-0.03528762987116352,0.387107165530324,0.3389006797224283,1,1,228,-257.78827395099165,0.06683336602873169,0.0498046875,1.9687142735347152,79,1,4,-257.78827395099165,-1.130650281906128,-0.033314432948827744,0.09487888962030411,1151.83875754314
20,results/stage20_mixed_curriculum/short_gate/seed_01/stage20_ppo.history.json,MIXED_CURRICULUM,seed_01,1,last,0.18660384748363867,0.02797009504865855,0.3256321279332042,0.41823136305902153,3,3,226,-252.78301295460366,0.04752047616057098,0.087890625,2.7051413292065263,79,1,4,-252.78301295460366,-1.1185089349746704,-0.02846781350672245,0.08168249577283859,1543.7276825804222
20,results/stage20_mixed_curriculum/short_gate/seed_01/warm_start.history.json,MIXED_CURRICULUM,seed_01,1,first,2.489456262588501,2.489456262588501,0.9568327938579023,2.679223747253418,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/short_gate/seed_01/warm_start.history.json,MIXED_CURRICULUM,seed_01,1,last,0.5139590239524842,0.5139590239524842,1.1475643947720529,0.8051968836784362,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/short_gate/seed_02/stage20_ppo.history.json,MIXED_CURRICULUM,seed_02,2,first,0.14269313623663038,-0.023323683999478817,0.3372915415093303,0.2628952466213832,1,1,230,-448.2281647412626,0.028114011661578786,0.07649739598855376,1.388773502316326,77,3,3,-448.2281647412626,-1.9488180875778198,-0.036613378673791885,0.08270540088415146,2833.107669696526
20,results/stage20_mixed_curriculum/short_gate/seed_02/stage20_ppo.history.json,MIXED_CURRICULUM,seed_02,2,last,0.05989047352341004,0.035533179237972945,0.053837914078030735,0.2561664219766615,2,2,228,-23.08809703838968,0.019560445347451605,0.0556640625,0.8801407744176686,78,2,3,-23.08809703838968,-0.10126359015703201,-0.0014471178874373436,0.02658006362617016,4896.64805864272
20,results/stage20_mixed_curriculum/short_gate/seed_02/warm_start.history.json,MIXED_CURRICULUM,seed_02,2,first,2.5834620666503905,2.5834620666503905,0.8342363196611404,2.7742858123779297,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/short_gate/seed_02/warm_start.history.json,MIXED_CURRICULUM,seed_02,2,last,0.46513527393341064,0.46513527393341064,0.7576064854860306,0.6559698939323425,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/short_gate/seed_03/stage20_ppo.history.json,MIXED_CURRICULUM,seed_03,3,first,0.1257014297589194,-0.022600171389058232,0.3016319393645972,0.25143689286051085,1,1,229,-135.67489086306057,0.06573113218618687,0.05312500009313226,1.4478708980605006,78,2,3,-135.67489086306057,-0.5924667716026306,-0.025431068614125252,0.09134437143802643,542.7487225592212
