"scenario","comparison","metric","difference","ci95_low","ci95_high","training_seed_count","test_seed_count"
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","distance_per_task",26.414785019598423,24.34017699873233,28.5173923279204,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","recovery_time_s",-3.415359708125118,-8.857465833816631,1.6060446923496037,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","success_rate",0.00048749999999999916,-0.0016753125000000064,0.002825000000000001,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","reward",87.75874228202389,70.04388342192885,105.07188276884027,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","successful_throughput_tasks_per_hour",0.017016999206210366,-0.11741375813762128,0.14847843361363036,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","mean_waiting_time",-29.76100572184694,-34.99678676750161,-24.381313233965546,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","p95_waiting_time",-122.65416119689652,-147.98117659134195,-99.09909131707431,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","mean_flow_time",-28.720592396781083,-34.51516205391223,-22.816105094165586,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","p95_flow_time",-104.39638838537279,-128.5392363118891,-80.97376286937843,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","distance_per_task",-0.4987519590008089,-2.474096689709701,1.576820967833751,10,100
"ROBOT_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","recovery_time_s",0.4763295164409809,-1.542486163234637,2.425857245513607,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","success_rate",0.003487499999999997,-0.006737812500000008,0.014650312499999995,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","reward",603.2399877319439,542.3246540462723,666.0855500588266,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",0.8557805022415201,0.02982759785668601,1.7816877422309814,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","mean_waiting_time",-198.84121927088168,-222.03131513301585,-176.516338423977,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","p95_waiting_time",-746.9720358329276,-851.7419259697615,-649.8844912922522,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","mean_flow_time",-212.19138703215827,-235.8136657878222,-189.9915199436452,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","p95_flow_time",-727.7434000059549,-830.5614362240898,-630.2423683351144,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","distance_per_task",25.666621518418637,23.681276567160182,27.703137703448316,10,100
"ROBOT_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","recovery_time_s",-3.983895695766767,-8.641426261186016,0.4615988429534279,10,100
