"scenario","method","metric","mean","std","sample_count"
"ROBOT_OUTAGE","TIME_GREEDY_RULE","reward",-357.1012326978312,210.80400209699346,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","successful_throughput_tasks_per_hour",68.60426338541498,8.14903620909495,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","mean_waiting_time",138.73346272453475,71.9444173749721,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","p95_waiting_time",575.4897046016171,243.28474316649599,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","mean_flow_time",182.09176636168854,71.96485648691373,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","p95_flow_time",608.9729200219818,231.44542172846005,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","distance_per_task",72.36448125621646,1.633119754744494,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","recovery_time_s",32.98328986651163,18.176578122923846,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","success_rate",0.964375,0.05253591244053535,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","reward",-872.5824781477511,434.8340909473249,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",67.76549988237966,7.352192712709889,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","mean_waiting_time",307.8136762735695,156.02223816808194,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","p95_waiting_time",1199.8075792376483,614.8266169475739,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","mean_flow_time",365.56256099706576,155.6160152927883,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","p95_flow_time",1232.3199316425637,610.8404003105405,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","distance_per_task",46.199107778797,1.6157922434776615,100
"ROBOT_OUTAGE","SINGLE_DOG_ONLY","recovery_time_s",37.44351507871938,23.252283224353455,100
